topic-id,question-id,reason
2522,106074,"Solved Bernoulli equation gives y^3 = 4x/(3 + Cx^4), which does not match any displayed option in the imported block."
883,8114,"Solving the displayed ODE y'' + 2y' + y = -25 sin(2x) gives particular coefficients 50/13 and 75/13, which do not match any displayed option."
6377,333385,"Prompt says trajectories slowly spiral away from equilibrium, i.e. an unstable spiral source, but the displayed options do not include that classification."
2531,64483,"Laplace transforming y' + y = 4 cos t with y(0)=2 gives Y=(2s^2+4s+2)/((s+1)(s^2+1)), which does not match any displayed option."
1869,47586,"For det(A) != 0, only statement III is true; the displayed options omit III only."
3819,95299,"All three displayed statements about singular values are true, but the imported options omit I, II, and III."
3819,94772,"Statements I and III are true and statement II is false, but the imported options omit I and III only."
1940,37517,"Options a, b, and c all reduce to the same tangent line y = 2, so the radio prompt is ambiguous."
4151,38941,"With u=x+y, v=x-y, w=sqrt(z), the Jacobian contributes w and the z bound becomes 1 <= w <= sqrt(uv), so no displayed option matches the transformed integral."
3705,124871,"With r(t)=<1,t,t^2>, dx=0, dy=dt, and dz=2t dt, the displayed integral becomes ∫_1^3 6t^3 dt, which is not among the options."
3640,137970,"Given CDF values are inconsistent because F(9,5)=0.4 > F(10,5)=0.2; using the requested difference F(10,9)-F(10,5) gives 0.5, but the source data violates CDF monotonicity."
4826,80414,"All three displayed statements are true for xRy iff x <= y, but the imported options omit I, II, and III."
3950,148766,"For positive differentiable strictly increasing f, g(x)=x f(x) is increasing so statements II and III are true, but f'(x)>0 need not hold everywhere; the displayed options omit II and III only."
2975,88686,"The only symmetry candidate is tan(2x) on [-3,3], but tan(2x) has vertical asymptotes inside the interval, so the improper integral is not a zero-valued definite integral."
759,49796,"Items II and III both have a singularity at x=6, so both are improper integrals of the second kind, but the displayed options omit II and III only."
1173,138974,"Prompt asks for an upper bound, but every displayed option is written as a lower-bound inequality, so no option matches the requested statement."
1167,13498,"Prompt asks for the highlighted matrix entry, but the imported block has only plain matrix text and no highlight or image identifying the entry."
1167,13503,"Prompt asks for the highlighted matrix entry, but the imported block has only plain matrix text and no highlight or image identifying the entry."
1762,12430,"Cylinder image shows only radius 10 in and no height, so lateral surface area is not determined by the displayed prompt."
1762,12419,"Cylinder image shows only radius 10 in and no height, so total surface area is not determined by the displayed prompt."
487,12457,"The system solves to a = b = -18/5, but every displayed option has integer opposite-sign values, so no option matches."
