topic-id,step-id,question-id,question-type,answer-cardinality,quiz-block-format,quiz-block-type,quiz-answer-labels,quiz-updated-courses,quiz-status,quiz-answer-source,quiz-answer-rule
35,626,290,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,626,284,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,629,47845,multiple-choice,single,obsidian-quiz-blocks,radio,b,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,629,47830,multiple-choice,single,obsidian-quiz-blocks,radio,b,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,631,47843,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,631,47840,multiple-choice,single,obsidian-quiz-blocks,radio,e,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,634,47824,multiple-choice,single,obsidian-quiz-blocks,radio,c,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,634,47826,multiple-choice,single,obsidian-quiz-blocks,radio,c,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
36,2592,50893,multiple-choice,single,obsidian-quiz-blocks,radio,e,CBC;CA2,converted-and-verified,manual,label
36,2592,50858,multiple-choice,single,obsidian-quiz-blocks,radio,d,CBC;CA2,converted-and-verified,manual,label
36,2595,50859,multiple-choice,single,obsidian-quiz-blocks,radio,b,CBC;CA2,converted-and-verified,manual,label
36,2595,50880,multiple-choice,single,obsidian-quiz-blocks,radio,e,CBC;CA2,converted-and-verified,manual,label
36,2598,50910,multiple-choice,single,obsidian-quiz-blocks,radio,e,CBC;CA2,converted-and-verified,manual,label
36,2598,50907,multiple-choice,single,obsidian-quiz-blocks,radio,c,CBC;CA2,converted-and-verified,manual,label
37,345,35281,multiple-choice,single,obsidian-quiz-blocks,radio,d,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,345,54406,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,346,35616,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
