topic-id,step-id,question-id,question-type,answer-cardinality,quiz-block-format,quiz-block-type,quiz-answer-labels,quiz-updated-courses,quiz-status,quiz-answer-source,quiz-answer-rule
14,14287,58,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
14,14287,57,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
14,14288,66220,multiple-choice,single,obsidian-quiz-blocks,radio,e,MF2,converted-and-verified,manual,label
14,14288,66160,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
14,14289,952,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
14,14289,953,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
14,14290,66238,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
14,14290,66209,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
28,467833,23110,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
28,467833,227371,free-response,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
28,467833,28045,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
28,467837,227376,free-response,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
28,467837,262868,free-response,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
28,467840,957,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
28,467840,262884,free-response,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
28,467840,66882,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
29,16080,101,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF3,converted-and-verified,manual,label
29,16080,11440,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF3,converted-and-verified,manual,label
29,16082,108,multiple-choice,single,obsidian-quiz-blocks,radio,e,MF3,converted-and-verified,manual,label
29,16082,11478,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF3,converted-and-verified,manual,label
29,16144,103,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF3,converted-and-verified,manual,label
29,16144,105,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF3,converted-and-verified,manual,label
30,14489,47194,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
30,14489,66907,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
30,14490,1100,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
30,14490,1109,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
30,14492,47203,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
30,14492,47200,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
30,14503,1102,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
30,14503,1111,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
31,14293,118,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
31,14293,588,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
31,14294,121,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
31,14294,595,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
31,14295,126,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
31,14295,617,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
31,14296,66351,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
31,14296,66349,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
32,13779,66304,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
32,13779,544,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
32,13780,925,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
32,13780,547,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
32,13785,928,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
32,13785,571,multiple-choice,single,obsidian-quiz-blocks,radio,e,MF2,converted-and-verified,manual,label
32,13932,66488,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
32,13932,66489,multiple-choice,single,obsidian-quiz-blocks,radio,e,MF2,converted-and-verified,manual,label
33,456603,66360,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
33,456603,66361,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
33,456603,250348,free-response,multi,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
33,456608,250369,free-response,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
33,456608,54608,multiple-choice,single,obsidian-quiz-blocks,radio,e,MF2,converted-and-verified,manual,label
33,456608,250386,free-response,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
33,456612,66371,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
33,456612,218538,free-response,multi,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
33,456612,86584,multiple-choice,single,obsidian-quiz-blocks,radio,e,MF2,converted-and-verified,manual,label
33,456617,218539,free-response,multi,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
33,456617,539,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
33,456617,250605,free-response,multi,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
34,464643,897,multiple-choice,single,obsidian-quiz-blocks,radio,b,MF2,converted-and-verified,manual,label
34,464643,69686,multiple-choice,single,obsidian-quiz-blocks,radio,d,MF2,converted-and-verified,manual,label
34,464646,70255,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
34,464646,70257,multiple-choice,single,obsidian-quiz-blocks,radio,c,MF2,converted-and-verified,manual,label
34,464649,899,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
34,464649,904,multiple-choice,single,obsidian-quiz-blocks,radio,a,MF2,converted-and-verified,manual,label
35,626,290,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,626,284,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,629,47845,multiple-choice,single,obsidian-quiz-blocks,radio,b,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,629,47830,multiple-choice,single,obsidian-quiz-blocks,radio,b,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,631,47843,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,631,47840,multiple-choice,single,obsidian-quiz-blocks,radio,e,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,634,47824,multiple-choice,single,obsidian-quiz-blocks,radio,c,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
35,634,47826,multiple-choice,single,obsidian-quiz-blocks,radio,c,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,345,35281,multiple-choice,single,obsidian-quiz-blocks,radio,d,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,345,54406,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,346,35616,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,346,35294,multiple-choice,single,obsidian-quiz-blocks,radio,a,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,12007,17279,multiple-choice,single,obsidian-quiz-blocks,radio,b,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,12007,4458,multiple-choice,single,obsidian-quiz-blocks,radio,c,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
37,12008,35644,multiple-choice,single,obsidian-quiz-blocks,radio,e,CAB;CBC;CA1;MF2,converted-and-verified,manual,label
