topic-id,step-id,question-id,question-type,answer-cardinality,quiz-block-format,quiz-block-type,quiz-answer-labels,quiz-updated-courses,quiz-status,quiz-answer-source,quiz-answer-rule
46,65303,180743,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65303,180739,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65303,180740,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65309,180745,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65309,183519,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65309,181701,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65313,181703,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
46,65313,181567,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63831,80299,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63831,80234,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63831,181441,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63836,181542,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63836,37384,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63836,80336,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63840,36229,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63840,36228,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
47,63840,36218,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
48,65852,36925,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
48,65852,181473,free-response,single,,,,,,,
48,65852,181471,free-response,single,,,,,,,
48,65856,181469,free-response,single,,,,,,,
48,65856,181587,free-response,single,,,,,,,
48,65856,181589,free-response,single,,,,,,,
48,65860,181457,free-response,single,,,,,,,
48,65860,181563,free-response,single,,,,,,,
48,65863,181579,free-response,single,,,,,,,
48,65863,181454,free-response,single,,,,,,,
49,152909,181287,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MML;MOP;PS1,converted-and-verified,image-id,answer-image-id-1
49,152909,181293,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MML;MOP;PS1,converted-and-verified,manual,label
49,152912,1257,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MML;MOP;PS1,converted-and-verified,manual,label
49,152912,1262,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MML;MOP;PS1,converted-and-verified,manual,label
49,152916,1268,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MML;MOP;PS1,converted-and-verified,manual,label
49,152916,1264,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MML;MOP;PS1,converted-and-verified,manual,label
49,152921,181295,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MML;MOP;PS1,converted-and-verified,manual,label
49,152921,181294,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MML;MOP;PS1,converted-and-verified,manual,label
50,152759,228,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152759,37263,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152759,37255,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152764,1190,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152764,1192,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152768,229,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152768,498,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152772,1210,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
50,152772,1211,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
51,153367,1193,multiple-choice,single,obsidian-quiz-blocks,radio,c,MOP,converted-and-verified,manual,label
51,153367,1205,multiple-choice,single,obsidian-quiz-blocks,radio,c,MOP,converted-and-verified,manual,label
51,153367,1194,multiple-choice,single,obsidian-quiz-blocks,radio,a,MOP,converted-and-verified,manual,label
51,153372,1195,multiple-choice,single,obsidian-quiz-blocks,radio,c,MOP,converted-and-verified,manual,label
51,153372,1198,multiple-choice,single,obsidian-quiz-blocks,radio,a,MOP,converted-and-verified,manual,label
51,153372,80937,multiple-choice,single,obsidian-quiz-blocks,radio,e,MOP,converted-and-verified,manual,label
51,153376,105138,multiple-choice,single,obsidian-quiz-blocks,radio,b,MOP,converted-and-verified,manual,label
51,153376,105150,multiple-choice,single,obsidian-quiz-blocks,radio,a,MOP,converted-and-verified,manual,label
51,153379,105125,multiple-choice,single,obsidian-quiz-blocks,radio,c,MOP,converted-and-verified,manual,label
51,153379,104930,multiple-choice,single,obsidian-quiz-blocks,radio,b,MOP,converted-and-verified,manual,label
55,70626,172662,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70626,172665,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70626,172667,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70632,172671,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70632,172672,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70632,184613,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70636,172673,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70636,172674,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
55,70636,184659,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64629,80909,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64629,80997,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64632,80906,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64632,80907,multiple-choice,single,obsidian-quiz-blocks,radio,b,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64632,170847,multiple-choice,single,obsidian-quiz-blocks,radio,c,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64636,170844,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64636,170843,multiple-choice,single,obsidian-quiz-blocks,radio,e,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64640,171482,multiple-choice,single,obsidian-quiz-blocks,radio,d,LAL;MOP;MML;PS1,converted-and-verified,manual,label
58,64640,171486,multiple-choice,single,obsidian-quiz-blocks,radio,a,LAL;MOP;MML;PS1,converted-and-verified,manual,label
60,153495,81003,multiple-choice,single,obsidian-quiz-blocks,radio,c,MOP;MML,converted-and-verified,manual,label
60,153495,175528,select-list,multi,obsidian-quiz-blocks,radio,a,MOP;MML,converted-and-verified,manual,label
60,153498,170852,multiple-choice,single,obsidian-quiz-blocks,radio,c,MOP;MML,converted-and-verified,manual,label
60,153498,170853,multiple-choice,single,obsidian-quiz-blocks,radio,e,MOP;MML,converted-and-verified,manual,label
60,153503,181713,select-list,multi,obsidian-quiz-blocks,radio,a,MOP;MML,converted-and-verified,manual,label
60,153503,175911,select-list,multi,obsidian-quiz-blocks,radio,a,MOP;MML,converted-and-verified,manual,label
60,153506,181714,select-list,multi,obsidian-quiz-blocks,radio,a,MOP;MML,converted-and-verified,manual,label
60,153506,178152,select-list,multi,obsidian-quiz-blocks,radio,a,MOP;MML,converted-and-verified,manual,label
148,17170,71713,multiple-choice,single,obsidian-quiz-blocks,radio,b,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17170,1069,multiple-choice,single,obsidian-quiz-blocks,radio,e,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17171,20361,multiple-choice,single,obsidian-quiz-blocks,radio,b,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17171,1051,multiple-choice,single,obsidian-quiz-blocks,radio,b,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17173,71724,multiple-choice,single,obsidian-quiz-blocks,radio,e,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17173,20223,multiple-choice,single,obsidian-quiz-blocks,radio,b,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17174,71730,multiple-choice,single,obsidian-quiz-blocks,radio,c,DSM;LAL;MML;PS1,converted-and-verified,manual,label
148,17174,1074,multiple-choice,single,obsidian-quiz-blocks,radio,d,DSM;LAL;MML;PS1,converted-and-verified,manual,label
230,154013,171015,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
230,154013,171018,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
230,154016,171017,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
230,154016,171016,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
230,154019,81866,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
230,154019,82022,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
230,154019,81865,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
240,25821,1272,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
240,25821,1271,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
240,25822,80345,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
240,25822,80346,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
240,25823,1275,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
240,25823,1274,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
247,139681,182458,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139681,182455,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139684,182595,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139684,182591,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139687,182469,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139687,182470,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139690,1470,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139690,81891,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
247,139690,82455,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
248,180139,182478,select-list,single,,,,,,,
248,180139,182475,select-list,multi,,,,,,,
248,180142,182480,select-list,multi,,,,,,,
248,180142,182565,select-list,multi,,,,,,,
248,180142,182581,select-list,multi,,,,,,,
248,180146,1471,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
248,180146,107159,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
248,180149,83226,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
248,180149,1479,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
249,158239,216079,select-list,multi,,,,,,,
249,158239,216553,select-list,multi,,,,,,,
249,158243,216676,select-list,multi,,,,,,,
249,158243,216081,select-list,multi,,,,,,,
249,158247,218543,select-list,multi,,,,,,,
249,158247,218616,select-list,multi,,,,,,,
249,158250,107592,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
249,158250,107601,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
249,158250,85917,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
250,154036,182371,select-list,single,,,,,,,
250,154036,182370,select-list,multi,,,,,,,
250,154039,182390,select-list,multi,,,,,,,
250,154039,182659,select-list,multi,,,,,,,
250,154039,182679,select-list,multi,,,,,,,
250,154044,81884,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
250,154044,82070,multiple-choice,single,obsidian-quiz-blocks,radio,,MML;MOP,needs-answer,,
251,154122,183851,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154122,183927,select-list,multi,,,,,,,
251,154122,183837,select-list,multi,,,,,,,
251,154126,183978,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154126,183844,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154126,183982,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154130,1496,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154130,1499,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154130,1518,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
251,154135,183969,select-list,multi,,,,,,,
251,154135,183856,select-list,multi,,,,,,,
252,143403,171331,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143403,82626,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143406,171330,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143406,81982,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143409,171332,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143409,81985,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143413,171334,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
252,143413,81987,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
253,182437,184244,select-list,multi,,,,,,,
253,182437,184083,select-list,multi,,,,,,,
253,182440,225339,select-list,multi,,,,,,,
253,182440,225340,select-list,multi,,,,,,,
253,182445,225341,select-list,multi,,,,,,,
253,182445,225343,select-list,multi,,,,,,,
254,182696,185058,select-list,single,,,,,,,
254,182696,185059,select-list,single,,,,,,,
254,182699,222215,select-list,multi,,,,,,,
254,182699,222344,select-list,multi,,,,,,,
254,182702,185289,select-list,multi,,,,,,,
254,182702,222137,select-list,single,,,,,,,
290,156960,181720,free-response,single,,,,,,,
290,156960,181980,free-response,single,,,,,,,
290,156963,41856,multiple-choice,single,obsidian-quiz-blocks,radio,d,DEQ;MOP;PS2,converted-and-verified,manual,label
290,156963,182107,multiple-choice,single,obsidian-quiz-blocks,radio,d,DEQ;MOP;PS2,converted-and-verified,manual,label
290,156967,181940,free-response,single,,,,,,,
290,156967,181981,free-response,single,,,,,,,
290,156970,41796,multiple-choice,single,obsidian-quiz-blocks,radio,c,DEQ;MOP;PS2,converted-and-verified,manual,label
290,156970,41793,multiple-choice,single,obsidian-quiz-blocks,radio,e,DEQ;MOP;PS2,converted-and-verified,manual,label
642,181048,170320,select-list,multi,,,,,,,
642,181048,182624,select-list,multi,,,,,,,
642,181052,170316,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
642,181052,182716,multiple-choice,single,obsidian-quiz-blocks,radio,,MOP,needs-answer,,
642,181057,182573,select-list,multi,,,,,,,
642,181057,182614,select-list,multi,,,,,,,
642,181057,182690,select-list,multi,,,,,,,
646,179448,182539,select-list,multi,,,,,,,
646,179448,182456,select-list,multi,,,,,,,
646,179451,184243,select-list,multi,,,,,,,
646,179451,182639,select-list,multi,,,,,,,
646,179454,182462,select-list,multi,,,,,,,
646,179454,182464,select-list,multi,,,,,,,
686,2351,10094,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
686,2351,5321,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
686,2354,40417,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
686,2354,40415,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
691,2342,10017,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
691,2342,14056,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
691,2345,14059,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
691,2345,9982,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
691,2348,67204,multiple-choice,single,obsidian-quiz-blocks,radio,,CA2;CBC;DSM,needs-answer,,
