role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,32,MF3,1281,9.1.2,Approximating Areas With the Right Riemann Sum,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Lessons/9.1.2. Approximating Areas With the Right Riemann Sum.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Source/9.1.2. Approximating Areas With the Right Riemann Sum
lesson,33,MF3,1042,9.1.3,Left and Right Riemann Sums in Sigma Notation,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Lessons/9.1.3. Left and Right Riemann Sums in Sigma Notation.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Source/9.1.3. Left and Right Riemann Sums in Sigma Notation
prerequisite,24,MF2,2271,7.1.1,Introduction to Sequences,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Lessons/7.1.1. Introduction to Sequences.md,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Source/7.1.1. Introduction to Sequences
prerequisite,26,MF2,3817,4.1.3,Describing Function Composition,vault/MA/Mathematical-Foundations/MF2/4. Functions/4.1. Functions/Lessons/4.1.3. Describing Function Composition.md,vault/MA/Mathematical-Foundations/MF2/4. Functions/4.1. Functions/Source/4.1.3. Describing Function Composition
prerequisite,27,MF1,1352,13.3.1,Areas of Rectangles and Squares,vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.3. Area and Perimeter/Lessons/13.3.1. Areas of Rectangles and Squares.md,vault/MA/Mathematical-Foundations/MF1/13. Polygons/13.3. Area and Perimeter/Source/13.3.1. Areas of Rectangles and Squares
prerequisite,31,MF1,1628,8.1.10,Increasing and Decreasing Functions,vault/MA/Mathematical-Foundations/MF1/8. Functions/8.1. Functions/Lessons/8.1.10. Increasing and Decreasing Functions.md,vault/MA/Mathematical-Foundations/MF1/8. Functions/8.1. Functions/Source/8.1.10. Increasing and Decreasing Functions
prerequisite,31,MF2,84,1.2.3,Graphs of General Quadratic Functions,vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.2. Quadratic Functions/Lessons/1.2.3. Graphs of General Quadratic Functions.md,vault/MA/Mathematical-Foundations/MF2/1. Quadratics/1.2. Quadratic Functions/Source/1.2.3. Graphs of General Quadratic Functions
prerequisite,32,MF2,3958,7.1.5,Properties of Finite Series,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Lessons/7.1.5. Properties of Finite Series.md,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Source/7.1.5. Properties of Finite Series
prerequisite,32,MF3,477,9.1.1,Approximating Areas With the Left Riemann Sum,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Lessons/9.1.1. Approximating Areas With the Left Riemann Sum.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Source/9.1.1. Approximating Areas With the Left Riemann Sum
prerequisite,33,MF2,269,9.4.1,Finding Trigonometric Ratios of Quadrantal Angles,vault/MA/Mathematical-Foundations/MF2/9. Trigonometry/9.4. Special Trigonometric Ratios/Lessons/9.4.1. Finding Trigonometric Ratios of Quadrantal Angles.md,vault/MA/Mathematical-Foundations/MF2/9. Trigonometry/9.4. Special Trigonometric Ratios/Source/9.4.1. Finding Trigonometric Ratios of Quadrantal Angles
prerequisite,34,MF2,268,9.4.3,Finding Trigonometric Ratios of Special Angles Using the Unit Circle,vault/MA/Mathematical-Foundations/MF2/9. Trigonometry/9.4. Special Trigonometric Ratios/Lessons/9.4.3. Finding Trigonometric Ratios of Special Angles Using the Unit Circle.md,vault/MA/Mathematical-Foundations/MF2/9. Trigonometry/9.4. Special Trigonometric Ratios/Source/9.4.3. Finding Trigonometric Ratios of Special Angles Using the Unit Circle
