study-order,layer,group,course,topic-id,topic-code,topic-name,question-number,question-numbers,question-id,source-blank-count,canonical-occurrences,active-copy-occurrences,total-occurrences,current-types,marker-occurrences,ledger-status,seed-state,seed-source,keyboard-answer,correct-label,correct-content,source-prompt,current-content,layout-template,canonical-placements,active-copy-placements
1,11,Mathematical-Foundations,MF1,529,MF1.1.5.1,Dividing Whole Numbers by Unit Fractions Using Models,2,2,174119,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,16,,,"If the [MATH: 2] circles above are divided into eighths, then there will be[FREE_ENTRY 1]
eights in total.","![](<../Source/1.5.1. Dividing Whole Numbers by Unit Fractions Using Models/Images/q-174119.png>)

If the $2$ circles above are divided into eighths, then how many eighths will there be in total?

Answer: ==16==.","{{image-1}}

If the $2$ circles above are divided into eighths, then how many eighths will there be in total?

Answer: ==16==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.1. Dividing Whole Numbers by Unit Fractions Using Models.md,
2,11,Mathematical-Foundations,MF1,529,MF1.1.5.1,Dividing Whole Numbers by Unit Fractions Using Models,6,6,174120,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"5, 10",,,"Each of the five shapes in the model above represents one whole. Insert the missing numbers in the division problem below.[FREE_ENTRY 1]
[MATH: ÷ (1)/(2) =]
[FREE_ENTRY 2]","![](<../Source/1.5.1. Dividing Whole Numbers by Unit Fractions Using Models/Images/q-174120.png>)

Each of the five shapes in the model above represents one whole. Which division problem is represented by the model?

Enter the blanks from left to right: ==5==, ==10==.","{{image-1}}

Each of the five shapes in the model above represents one whole. Which division problem is represented by the model?

Enter the blanks from left to right: ==5==, ==10==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.1. Dividing Whole Numbers by Unit Fractions Using Models.md,
3,11,Mathematical-Foundations,MF1,529,MF1.1.5.1,Dividing Whole Numbers by Unit Fractions Using Models,9,9,222998,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,8,,,"The shape in the model above represents [MATH: 2] wholes. Use this to solve the following division problem.[MATH: 2 ÷ (1)/(4) =]
[FREE_ENTRY 1]","![](<../Source/1.5.1. Dividing Whole Numbers by Unit Fractions Using Models/Images/q-222998.png>)

The shape in the model above represents $2$ wholes. Use this to solve the following division problem.$2 \div \frac{1}{4} =$

Answer: ==8==.","{{image-1}}

The shape in the model above represents $2$ wholes. Use this to solve the following division problem.$2 \div \frac{1}{4} =$

Answer: ==8==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.1. Dividing Whole Numbers by Unit Fractions Using Models.md,
4,12,Mathematical-Foundations,MF1,2437,MF1.1.5.6,Dividing Whole Numbers by Fractions Using Models: Whole Number Results,3,3,237516,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"4/5, 5",,,"Use the model above to determine the missing numbers in the following division problem.[MATH: 4 ÷]
[FREE_ENTRY 1]
[MATH: =]
[FREE_ENTRY 2]","![](<../Source/1.5.6. Dividing Whole Numbers by Fractions Using Models- Whole Number Results/Images/q-237516.png>)

Use the model above to determine the missing numbers in the following division problem.

$4 \div ? = ?$

Which pair of missing numbers completes the division problem?

Enter the blanks from left to right: ==4/5==, ==5==.","{{image-1}}

Use the model above to determine the missing numbers in the following division problem.

$4 \div ? = ?$

Which pair of missing numbers completes the division problem?

Enter the blanks from left to right: ==4/5==, ==5==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.6. Dividing Whole Numbers by Fractions Using Models- Whole Number Results.md,
5,12,Mathematical-Foundations,MF1,2437,MF1.1.5.6,Dividing Whole Numbers by Fractions Using Models: Whole Number Results,4,4,237520,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"3, 3/8",,,"Use the model above to determine the missing numbers in the following division problem.[FREE_ENTRY 1]
[MATH: ÷]
[FREE_ENTRY 2]
[MATH: = 8]","![](<../Source/1.5.6. Dividing Whole Numbers by Fractions Using Models- Whole Number Results/Images/q-237520.png>)

Use the model above to determine the missing numbers in the following division problem.

$? \div ? = 8$

Which pair of missing numbers completes the division problem?

Enter the blanks from left to right: ==3==, ==3/8==.","{{image-1}}

Use the model above to determine the missing numbers in the following division problem.

$? \div ? = 8$

Which pair of missing numbers completes the division problem?

Enter the blanks from left to right: ==3==, ==3/8==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.6. Dividing Whole Numbers by Fractions Using Models- Whole Number Results.md,
6,12,Mathematical-Foundations,MF1,2437,MF1.1.5.6,Dividing Whole Numbers by Fractions Using Models: Whole Number Results,6,6,237553,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,7,,,"If the model above represents [MATH: 3] wholes, use the model to solve the following division problem. Express your answer as a whole number.[MATH: 3 ÷ (3)/(7) =]
[FREE_ENTRY 1]","![](<../Source/1.5.6. Dividing Whole Numbers by Fractions Using Models- Whole Number Results/Images/q-237553.png>)

If the model above represents $3$ wholes, use the model to solve the following division problem. Express your answer as a whole number. $3 \div \frac{3}{7} =$

Answer: ==7==.","{{image-1}}

If the model above represents $3$ wholes, use the model to solve the following division problem. Express your answer as a whole number. $3 \div \frac{3}{7} =$

Answer: ==7==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.6. Dividing Whole Numbers by Fractions Using Models- Whole Number Results.md,
7,13,Mathematical-Foundations,MF1,2440,MF1.1.2.1,Least Common Multiples,4,4,188625,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,28,,,The least common multiple of [MATH: 4] and [MATH: 14] is[FREE_ENTRY 1].,"The least common multiple of $4$ and $14$ is

Answer: ==28==.","The least common multiple of $4$ and $14$ is

Answer: ==28==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.1. Least Common Multiples.md,
8,13,Mathematical-Foundations,MF1,2440,MF1.1.2.1,Least Common Multiples,8,8,172659,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,63,,,"The least common multiple of [MATH: 7,] [MATH: 9,] and [MATH: 21] is[FREE_ENTRY 1].","The least common multiple of $7$, $9$, and $21$ is

Answer: ==63==.","The least common multiple of $7$, $9$, and $21$ is

Answer: ==63==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.1. Least Common Multiples.md,
9,13,Mathematical-Foundations,MF1,4698,MF1.1.5.7,Dividing Whole Numbers by Fractions Using Models: Fractional Results,3,3,237501,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2 1/2,,,"If the model above represents [MATH: 1] whole, use the model to solve the following division problem. Express your answer as a mixed number in its simplest form.[MATH: 1 ÷ (2)/(5) =]
[FREE_ENTRY 1]","![](<../Source/1.5.7. Dividing Whole Numbers by Fractions Using Models- Fractional Results/Images/q-237501.png>)

If the model above represents $1$ whole, use the model to solve the following division problem. Express your answer as a mixed number in its simplest form.

What is $1 \div \frac{2}{5}$?

Answer: ==2 1/2==.","{{image-1}}

If the model above represents $1$ whole, use the model to solve the following division problem. Express your answer as a mixed number in its simplest form.

What is $1 \div \frac{2}{5}$?

Answer: ==2 1/2==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.7. Dividing Whole Numbers by Fractions Using Models- Fractional Results.md,
10,13,Mathematical-Foundations,MF1,4698,MF1.1.5.7,Dividing Whole Numbers by Fractions Using Models: Fractional Results,4,4,237504,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,4 1/2,,,"If the model above represents [MATH: 2] wholes, use the model to solve the following division problem. Express your answer as a mixed number in its simplest form.[MATH: 2 ÷ (4)/(9) =]
[FREE_ENTRY 1]","![](<../Source/1.5.7. Dividing Whole Numbers by Fractions Using Models- Fractional Results/Images/q-237504.png>)

If the model above represents $2$ wholes, use the model to solve the following division problem. Express your answer as a mixed number in its simplest form.

What is $2 \div \frac{4}{9}$?

Answer: ==4 1/2==.","{{image-1}}

If the model above represents $2$ wholes, use the model to solve the following division problem. Express your answer as a mixed number in its simplest form.

What is $2 \div \frac{4}{9}$?

Answer: ==4 1/2==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.7. Dividing Whole Numbers by Fractions Using Models- Fractional Results.md,
11,19,Mathematical-Foundations,MF1,543,MF1.1.1.1,Adding Fractions and Whole Numbers Using Models,2,2,214323,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,21/8,,,"Use the model above to solve the following addition problem. Express your answer as an improper fraction in its lowest terms.[MATH: 2 + (5)/(8) =]
[FREE_ENTRY 1]","![](<../Source/1.1.1. Adding Fractions and Whole Numbers Using Models/Images/q-214323.png>)

Use the model above to solve the following addition problem. Express your answer as an **improper fraction** in its lowest terms.$2 + \frac{5}{8} =$

Answer: ==21/8==.","{{image-1}}

Use the model above to solve the following addition problem. Express your answer as an **improper fraction** in its lowest terms.$2 + \frac{5}{8} =$

Answer: ==21/8==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.1. Adding and Subtracting Fractions and Whole Numbers/Lessons/1.1.1. Adding Fractions and Whole Numbers Using Models.md,
12,20,Mathematical-Foundations,MF1,2374,MF1.1.2.5,Adding Fractions With Unlike Denominators Using Models,2,2,174130,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,5/8,,,"Use the model above to solve the following addition problem.[MATH: (3)/(8) + (1)/(4) =]
[FREE_ENTRY 1].","![](<../Source/1.2.5. Adding Fractions With Unlike Denominators Using Models/Images/q-174130.png>)

Use the model above to solve the following addition problem. $\frac{3}{8} + \frac{1}{4} =$

Answer: ==5/8==.","{{image-1}}

Use the model above to solve the following addition problem. $\frac{3}{8} + \frac{1}{4} =$

Answer: ==5/8==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.5. Adding Fractions With Unlike Denominators Using Models.md,
13,20,Mathematical-Foundations,MF1,2374,MF1.1.2.5,Adding Fractions With Unlike Denominators Using Models,3,3,223465,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,7/9,,,"Use the model above to solve the following addition problem.[MATH: (1)/(3) + (4)/(9) =]
[FREE_ENTRY 1]","![](<../Source/1.2.5. Adding Fractions With Unlike Denominators Using Models/Images/q-223465.png>)

Use the model above to solve the following addition problem. $\frac{1}{3} + \frac{4}{9} =$

Answer: ==7/9==.","{{image-1}}

Use the model above to solve the following addition problem. $\frac{1}{3} + \frac{4}{9} =$

Answer: ==7/9==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.5. Adding Fractions With Unlike Denominators Using Models.md,
14,20,Mathematical-Foundations,MF1,2374,MF1.1.2.5,Adding Fractions With Unlike Denominators Using Models,5,5,223582,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,5,,,"Use the model above to complete the following addition problem.

| [MATH: 1] | [MATH: +] | [MATH: 1] | [MATH: =] | [FREE_ENTRY 1] |
| [MATH: 3] | [MATH: 2] | [MATH: 6] |","![](<../Source/1.2.5. Adding Fractions With Unlike Denominators Using Models/Images/q-223582.png>)

Use the model above to complete the following addition problem.

| $1$ | $+$ | $1$ | $=$ | $?$ |
| ---: | :---: | ---: | :---: | ---: |
| $3$ |  | $2$ |  | $6$ |

What numerator completes the final fraction?

Answer: ==5==.","{{image-1}}

Use the model above to complete the following addition problem.

| $1$ | $+$ | $1$ | $=$ | $?$ |
| ---: | :---: | ---: | :---: | ---: |
| $3$ |  | $2$ |  | $6$ |

What numerator completes the final fraction?

Answer: ==5==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.2. Adding and Subtracting Fractions/Lessons/1.2.5. Adding Fractions With Unlike Denominators Using Models.md,
15,20,Mathematical-Foundations,MF1,528,MF1.1.5.3,Dividing Unit Fractions by Whole Numbers Using Models,2,2,222926,2,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,"1/2, 1/8",,,"What division problem is represented by the model above?[FREE_ENTRY 1]
[MATH: ÷ 4 =]
[FREE_ENTRY 2]","![](<../Source/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models/Images/q-222926.png>)

What division problem is represented by the model above?

Enter the blanks from left to right: ==1/2==, ==1/8==.","{{image-1}}

What division problem is represented by the model above?

Enter the blanks from left to right: ==1/2==, ==1/8==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models.md,
16,20,Mathematical-Foundations,MF1,528,MF1.1.5.3,Dividing Unit Fractions by Whole Numbers Using Models,3,3,214729,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,2,,,"Insert the missing number in the division problem below.

| | | | | | | | | | | | [MATH: ÷] | [FREE_ENTRY 1] | [MATH: =] | | | | | | | | | | | / | | | | | | | | | |","Insert the missing number in the division problem below.

$$
\frac{1}{8} \div \, ? \, = \frac{1}{16}
$$

Answer: ==2==.","Insert the missing number in the division problem below.

$$
\frac{1}{8} \div \, ? \, = \frac{1}{16}
$$

Answer: ==2==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models.md,
17,20,Mathematical-Foundations,MF1,528,MF1.1.5.3,Dividing Unit Fractions by Whole Numbers Using Models,5,5,222988,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,7,,,"Insert the missing number in the division problem below.

| | | | | | | | [MATH: ÷] | [FREE_ENTRY 1] | [MATH: =] | | | | | | | / | | | | | / | | | | | / | | | | | / | | | | | / | | | | | / | | | | | |","Insert the missing number in the division problem below.

$$
\frac{1}{4} \div \, ? \, = \frac{1}{28}
$$

Answer: ==7==.","Insert the missing number in the division problem below.

$$
\frac{1}{4} \div \, ? \, = \frac{1}{28}
$$

Answer: ==7==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models.md,
18,20,Mathematical-Foundations,MF1,528,MF1.1.5.3,Dividing Unit Fractions by Whole Numbers Using Models,8,8,223003,1,1,0,1,blank,0,converted-and-verified,exact-ready,canonical-exact-blank,1/4,,,"Use the model above to solve the following division problem.[MATH: (1)/(2) ÷ 2 =]
[FREE_ENTRY 1]","![](<../Source/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models/Images/q-223003.png>)

Use the model above to solve the following division problem.$\frac{1}{2} \div 2 =$

Answer: ==1/4==.","{{image-1}}

Use the model above to solve the following division problem.$\frac{1}{2} \div 2 =$

Answer: ==1/4==.",vault/MA/Mathematical-Foundations/MF1/1. Fractions/1.5. Dividing Fractions/Lessons/1.5.3. Dividing Unit Fractions by Whole Numbers Using Models.md,
