topic-id,topic-code,topic-number,topic-name,unit,module,lesson-path,source-path,layer,nearest-integer-layer,course-map-index
148,DSM.1.1.1,1.1.1,Systems of Equations as Augmented Matrices,1. Preliminaries,1.1. Matrices,1. Preliminaries/1.1. Matrices/Lessons/1.1.1. Systems of Equations as Augmented Matrices.md,1. Preliminaries/1.1. Matrices/Source/1.1.1. Systems of Equations as Augmented Matrices,36,36,1
2083,DSM.1.1.2,1.1.2,Row Echelon Form,1. Preliminaries,1.1. Matrices,1. Preliminaries/1.1. Matrices/Lessons/1.1.2. Row Echelon Form.md,1. Preliminaries/1.1. Matrices/Source/1.1.2. Row Echelon Form,37,37,2
1047,DSM.1.1.3,1.1.3,Solving Systems of Equations Using Back Substitution,1. Preliminaries,1.1. Matrices,1. Preliminaries/1.1. Matrices/Lessons/1.1.3. Solving Systems of Equations Using Back Substitution.md,1. Preliminaries/1.1. Matrices/Source/1.1.3. Solving Systems of Equations Using Back Substitution,57,57,3
3118,DSM.1.1.4,1.1.4,Symmetric Matrices,1. Preliminaries,1.1. Matrices,1. Preliminaries/1.1. Matrices/Lessons/1.1.4. Symmetric Matrices.md,1. Preliminaries/1.1. Matrices/Source/1.1.4. Symmetric Matrices,65,65,4
3778,DSM.2.1.1,2.1.1,Boolean Functions,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.1. Boolean Functions.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.1. Boolean Functions,62,62,5
3779,DSM.2.1.2,2.1.2,Boolean Functions And Logical Operations,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.2. Boolean Functions And Logical Operations.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.2. Boolean Functions And Logical Operations,63,63,6
3780,DSM.2.1.3,2.1.3,Disjunctive Normal Forms,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.3. Disjunctive Normal Forms.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.3. Disjunctive Normal Forms,64,64,7
5396,DSM.2.1.4,2.1.4,Principal Disjunctive Normal Forms,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.4. Principal Disjunctive Normal Forms.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.4. Principal Disjunctive Normal Forms,65,65,8
3781,DSM.2.1.5,2.1.5,Conjunctive Normal Forms,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.5. Conjunctive Normal Forms.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.5. Conjunctive Normal Forms,64,64,9
5397,DSM.2.1.6,2.1.6,Principal Conjunctive Normal Forms,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.6. Principal Conjunctive Normal Forms.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.6. Principal Conjunctive Normal Forms,65,65,10
3782,DSM.2.1.7,2.1.7,Boolean Polynomials,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.7. Boolean Polynomials.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.7. Boolean Polynomials,85,85,11
3793,DSM.2.1.8,2.1.8,Simplifying Logical Expressions Using Karnaugh Maps,2. Boolean Algebra,2.1. Boolean Functions,2. Boolean Algebra/2.1. Boolean Functions/Lessons/2.1.8. Simplifying Logical Expressions Using Karnaugh Maps.md,2. Boolean Algebra/2.1. Boolean Functions/Source/2.1.8. Simplifying Logical Expressions Using Karnaugh Maps,65,65,12
3783,DSM.2.2.1,2.2.1,Truth-Preserving Boolean Functions,2. Boolean Algebra,2.2. Classes of Boolean Functions,2. Boolean Algebra/2.2. Classes of Boolean Functions/Lessons/2.2.1. Truth-Preserving Boolean Functions.md,2. Boolean Algebra/2.2. Classes of Boolean Functions/Source/2.2.1. Truth-Preserving Boolean Functions,64,64,13
3785,DSM.2.2.2,2.2.2,Self-Dual Boolean Functions,2. Boolean Algebra,2.2. Classes of Boolean Functions,2. Boolean Algebra/2.2. Classes of Boolean Functions/Lessons/2.2.2. Self-Dual Boolean Functions.md,2. Boolean Algebra/2.2. Classes of Boolean Functions/Source/2.2.2. Self-Dual Boolean Functions,64,64,14
3786,DSM.2.2.3,2.2.3,Monotonic Boolean Functions,2. Boolean Algebra,2.2. Classes of Boolean Functions,2. Boolean Algebra/2.2. Classes of Boolean Functions/Lessons/2.2.3. Monotonic Boolean Functions.md,2. Boolean Algebra/2.2. Classes of Boolean Functions/Source/2.2.3. Monotonic Boolean Functions,69,69,15
3787,DSM.2.2.4,2.2.4,Affine Boolean Functions,2. Boolean Algebra,2.2. Classes of Boolean Functions,2. Boolean Algebra/2.2. Classes of Boolean Functions/Lessons/2.2.4. Affine Boolean Functions.md,2. Boolean Algebra/2.2. Classes of Boolean Functions/Source/2.2.4. Affine Boolean Functions,86,86,16
3788,DSM.2.2.5,2.2.5,Functionally Complete Sets,2. Boolean Algebra,2.2. Classes of Boolean Functions,2. Boolean Algebra/2.2. Classes of Boolean Functions/Lessons/2.2.5. Functionally Complete Sets.md,2. Boolean Algebra/2.2. Classes of Boolean Functions/Source/2.2.5. Functionally Complete Sets,64,64,17
5398,DSM.2.2.6,2.2.6,Post's Functional Completeness Theorem,2. Boolean Algebra,2.2. Classes of Boolean Functions,2. Boolean Algebra/2.2. Classes of Boolean Functions/Lessons/2.2.6. Post's Functional Completeness Theorem.md,2. Boolean Algebra/2.2. Classes of Boolean Functions/Source/2.2.6. Post's Functional Completeness Theorem,87,87,18
