role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,47,MF3,283,9.2.2,The Fundamental Theorem of Calculus,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.2. The Fundamental Theorem of Calculus.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.2. The Fundamental Theorem of Calculus
lesson,49,MF3,1685,9.2.4,The Sum and Constant Multiple Rules for Definite Integrals,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals
lesson,49,MF3,443,10.1.3,Integration Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.3. Integration Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.3. Integration Using Substitution
lesson,51,MF3,2975,9.3.3,Evaluating Definite Integrals Using Symmetry,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Lessons/9.3.3. Evaluating Definite Integrals Using Symmetry.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Source/9.3.3. Evaluating Definite Integrals Using Symmetry
lesson,51,MF3,1200,9.3.5,Calculating the Definite Integral of a Function Given Its Graph,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Lessons/9.3.5. Calculating the Definite Integral of a Function Given Its Graph.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Source/9.3.5. Calculating the Definite Integral of a Function Given Its Graph
lesson,51,MF3,316,10.1.5,Further Integration of Algebraic Functions Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.5. Further Integration of Algebraic Functions Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.5. Further Integration of Algebraic Functions Using Substitution
lesson,51,MF3,478,10.1.8,Integrating Trigonometric Functions Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.8. Integrating Trigonometric Functions Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.8. Integrating Trigonometric Functions Using Substitution
lesson,52,MF3,333,9.4.1,The Integral as an Accumulation Function,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Lessons/9.4.1. The Integral as an Accumulation Function.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Source/9.4.1. The Integral as an Accumulation Function
lesson,52,MF3,1203,9.5.1,The Average Value of a Function,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.5. Applications of Integration/Lessons/9.5.1. The Average Value of a Function.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.5. Applications of Integration/Source/9.5.1. The Average Value of a Function
lesson,52,MF3,3770,10.1.7,Integrating Exponential Functions Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.7. Integrating Exponential Functions Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.7. Integrating Exponential Functions Using Substitution
lesson,53,MF3,613,9.4.2,The Second Fundamental Theorem of Calculus,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Lessons/9.4.2. The Second Fundamental Theorem of Calculus.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Source/9.4.2. The Second Fundamental Theorem of Calculus
