study-order,topic-id,question-number,question-id,answer,expected-occurrences,answer-source
1,529,2,174119,16,1,canonical-exact-blank
2,529,6,174120,"5, 10",1,canonical-exact-blank
3,529,9,222998,8,1,canonical-exact-blank
4,2437,3,237516,"4/5, 5",1,canonical-exact-blank
5,2437,4,237520,"3, 3/8",1,canonical-exact-blank
6,2437,6,237553,7,1,canonical-exact-blank
7,2440,4,188625,28,1,canonical-exact-blank
8,2440,8,172659,63,1,canonical-exact-blank
9,4698,3,237501,2 1/2,1,canonical-exact-blank
10,4698,4,237504,4 1/2,1,canonical-exact-blank
11,543,2,214323,21/8,1,canonical-exact-blank
12,2374,2,174130,5/8,1,canonical-exact-blank
13,2374,3,223465,7/9,1,canonical-exact-blank
14,2374,5,223582,5,1,canonical-exact-blank
15,528,2,222926,"1/2, 1/8",1,canonical-exact-blank
16,528,3,214729,2,1,canonical-exact-blank
17,528,5,222988,7,1,canonical-exact-blank
18,528,8,223003,1/4,1,canonical-exact-blank
19,528,10,223012,1/28,1,canonical-exact-blank
20,2353,4,172121,11/18,1,canonical-exact-blank
21,2353,5,195554,11/60,1,canonical-exact-blank
22,530,3,196436,1/88,1,canonical-exact-blank
23,530,5,172182,1/75,1,canonical-exact-blank
24,530,7,197618,1/12,1,canonical-exact-blank
25,2360,1,186829,28/15,1,canonical-exact-blank
26,2360,4,186845,1,1,canonical-exact-blank
27,2360,6,187249,3/4,1,canonical-exact-blank
28,2360,7,187309,5 1/4,1,canonical-exact-blank
29,2360,8,187312,1 1/2,1,canonical-exact-blank
30,3079,2,174132,1/4,1,canonical-exact-blank
31,3079,4,211163,3,1,canonical-exact-blank
32,3079,7,174133,2/9,1,canonical-exact-blank
33,3079,8,211182,5/14,1,canonical-exact-blank
34,2388,2,223906,2,1,canonical-exact-blank
35,2388,3,223922,1 1/2,1,canonical-exact-blank
36,2388,6,223933,1/11,1,canonical-exact-blank
37,2388,8,172154,5/22,1,canonical-exact-blank
38,2452,1,170874,0.09,1,manual-solution
39,2452,5,185360,90,1,manual-solution
40,2452,6,171115,61.6,1,manual-solution
41,327,2,171013,-5,1,manual-solution
42,327,3,236764,-5,1,manual-solution
43,327,4,170960,-24,1,manual-solution
44,327,6,174309,-158,1,manual-solution
45,525,4,172133,9/5,1,canonical-exact-blank
46,525,5,172132,8/15,1,canonical-exact-blank
47,525,6,172134,1 5/6,1,canonical-exact-blank
48,525,7,212486,1 1/2,1,canonical-exact-blank
49,525,8,212495,1 2/3,1,canonical-exact-blank
50,525,10,212533,2 1/3,1,canonical-exact-blank
51,525,11,212540,3 1/2,1,canonical-exact-blank
52,2459,7,208014,2/25,1,canonical-exact-blank
53,2459,8,208043,10/21,1,canonical-exact-blank
54,2438,2,222772,3/2,1,canonical-exact-blank
55,2438,3,222925,3,1,canonical-exact-blank
56,2438,4,214732,12,1,canonical-exact-blank
57,2438,5,174094,6/7,1,canonical-exact-blank
58,2438,7,223163,1 3/5,1,canonical-exact-blank
59,3720,1,171014,-10,1,manual-solution
60,3720,3,170955,-60,1,manual-solution
61,2314,2,224085,7^5,1,manual-solution
62,2314,3,172382,12^4,1,manual-solution
63,2379,2,211207,10 2/3,1,canonical-exact-blank
64,2379,4,211246,3 1/2,1,canonical-exact-blank
65,2377,2,211421,44,1,canonical-exact-blank
66,2377,4,172168,3 3/5,1,canonical-exact-blank
67,2377,5,172166,5,1,canonical-exact-blank
68,2377,6,211388,14,1,canonical-exact-blank
69,2377,7,211463,33/4,1,canonical-exact-blank
70,2377,8,211472,2 1/3,1,canonical-exact-blank
71,2321,2,172525,81,1,manual-solution
72,2321,4,172528,343,1,manual-solution
73,2321,5,224132,3,1,manual-solution
74,2321,7,172531,0,1,manual-solution
75,2380,3,198141,21/40,1,canonical-exact-blank
76,2380,7,198225,1 1/21,1,canonical-exact-blank
77,2380,8,198232,1 2/7,1,canonical-exact-blank
78,3537,2,172462,676,1,manual-solution
79,3537,3,224038,3600,1,manual-solution
80,3537,6,224286,256,1,manual-solution
81,2381,3,171726,7,1,canonical-exact-blank
82,2381,4,198174,6,1,canonical-exact-blank
83,2381,5,171727,5 5/6,1,canonical-exact-blank
84,2381,8,198204,2 2/5,1,canonical-exact-blank
85,2476,2,172439,4/25,1,manual-solution
86,2476,3,224020,1/27,1,manual-solution
87,2477,1,172467,0.25,1,manual-solution
88,2475,4,212252,9,1,manual-solution
89,2475,5,212259,4,1,manual-solution
90,2475,6,212337,90,1,manual-solution
91,2174,7,185062,0.04,1,manual-solution
92,645,5,175345,"1, 1/2",1,canonical-exact-blank
93,2195,7,186207,0.064,1,manual-solution
94,2202,2,171122,-1/5,1,manual-solution
95,121,2,171351,64,1,manual-solution
96,121,3,171352,-25,1,manual-solution
97,121,4,171355,64,1,manual-solution
98,121,6,171356,81,1,manual-solution
99,121,7,184057,-5,1,manual-solution
100,121,9,184065,24,1,manual-solution
101,534,2,235809,"5, 8",1,manual-solution
102,534,3,235944,"10, 1",1,manual-solution
103,66,2,175698,-17,1,canonical-exact-blank
104,66,4,175702,2,1,canonical-exact-blank
105,66,6,175707,-7,1,canonical-exact-blank
106,66,7,175708,-3,1,canonical-exact-blank
107,553,2,236327,7,1,manual-solution
108,553,3,170878,"1, 1",1,manual-solution
109,2564,2,221942,17/9,2,canonical-exact-blank
110,2564,3,218419,14/99,2,canonical-exact-blank
111,2564,6,223630,211/900,2,canonical-exact-blank
112,1819,8,186163,-1/2,1,manual-solution
113,2204,1,175538,5.7,1,manual-solution
114,2204,2,175544,2.83,1,manual-solution
115,554,1,186832,"4, 12",1,manual-solution
116,554,2,185056,"6, 12, 24",1,manual-solution
117,554,5,187327,"6, 24",1,manual-solution
118,2553,2,235779,4/3,1,manual-solution
119,2553,5,235787,5x/3,1,manual-solution
120,2553,6,235938,25x/3,1,manual-solution
121,6642,3,327552,20.40,1,manual-solution
122,6642,4,326900,27.00,1,manual-solution
123,2560,2,326492,200,1,manual-solution
124,2560,4,326511,70,1,manual-solution
125,2560,5,327517,300,1,manual-solution
126,2560,7,327654,3600,1,manual-solution
127,2560,8,327653,1225,1,manual-solution
128,1413,2,180716,-7,1,canonical-exact-blank
129,1413,4,180811,1/4,1,canonical-exact-blank
130,1413,6,180964,-3/2,1,canonical-exact-blank
131,1413,8,181125,6/11,1,canonical-exact-blank
132,97,2,180738,-4,1,manual-solution
133,97,3,171679,-2,1,manual-solution
134,97,7,180810,"1, -3",1,manual-solution
135,97,8,174301,4,1,manual-solution
136,470,2,212130,2,1,manual-solution
137,470,3,214831,19,1,manual-solution
138,470,5,212133,0,1,manual-solution
139,470,6,214906,6,1,manual-solution
140,3868,1,214996,8000,1,manual-solution
141,3868,4,215012,1250,1,manual-solution
142,3868,5,210363,0.75,1,manual-solution
143,3868,6,210364,3.6,1,manual-solution
144,3869,1,214912,5000,1,manual-solution
145,3869,4,210367,5900,1,manual-solution
146,3869,5,210369,5.9,1,manual-solution
147,3869,6,214945,0.0023,1,manual-solution
148,3869,8,210372,3.04,1,manual-solution
149,3870,2,210374,24,1,manual-solution
150,3870,4,215920,198,1,manual-solution
151,3870,5,210376,70,1,manual-solution
152,3870,6,210377,5.5,1,manual-solution
153,6646,1,327588,60,1,manual-solution
154,6646,2,327536,40,1,manual-solution
155,1499,2,212602,960,1,manual-solution
156,1499,5,212604,910600,1,manual-solution
157,6666,3,317967,1300,1,manual-solution
158,6666,4,318099,720,1,manual-solution
159,6663,1,327599,90,1,manual-solution
160,6663,2,327539,80,1,manual-solution
161,6663,3,327630,160,1,manual-solution
162,6663,4,327549,500,1,manual-solution
163,1240,1,171689,"4, -3",1,manual-solution
164,1240,6,178577,2x/3 + 1,1,manual-solution
165,1240,11,179507,-2x - 4,1,manual-solution
166,657,2,212651,8,1,manual-solution
167,657,5,212654,-4x^8,1,manual-solution
168,1511,3,237315,87,1,manual-solution
169,1511,6,236755,195 - 3x,1,manual-solution
170,1511,7,171790,18,1,manual-solution
171,496,1,171867,60,1,manual-solution
172,496,3,171874,24,1,manual-solution
173,496,6,235937,29,1,manual-solution
174,496,8,171870,88,1,manual-solution
175,4028,4,208734,-5,1,canonical-exact-blank
176,4028,7,214575,-1,1,canonical-exact-blank
177,96,2,212312,0,1,manual-solution
178,96,3,215795,9,1,manual-solution
179,96,4,212318,-1,1,manual-solution
180,96,5,215805,-9,1,manual-solution
181,96,6,212324,-3,1,manual-solution
182,1783,5,215327,2z^3 - 5z - 1,1,manual-solution
183,1783,6,215324,3y^4 + 4y^2 + 5,1,manual-solution
184,457,3,252550,216,1,manual-solution
185,457,6,252598,25,1,manual-solution
186,457,8,252623,"2^(1/2), 1.414",1,manual-solution
187,457,10,252615,2,1,manual-solution
188,384,2,212345,"-6, 6",1,manual-solution
189,384,3,212348,"-72, 72",1,manual-solution
190,384,4,212350,"-4, -2/3",1,manual-solution
191,384,5,212362,"1, 5/3",1,manual-solution
192,384,6,212364,"-7, 11",1,manual-solution
193,384,8,215295,"-16, 4",1,manual-solution
194,81,2,236184,x^3 + 2x + 5,1,canonical-exact-blank
